종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"057030","YBM넷","KOSDAQ","기타서비스","3350","-80","-2.33","54647534950"
"040300","YTN","KOSDAQ","방송서비스","5570","-1220","-17.97","233940000000"
"051390","YW","KOSDAQ","유통","3230","-60","-1.82","36677838640"
"052220","iMBC","KOSDAQ","디지털컨텐츠","4150","-795","-16.08","95450000000"
"079940","가비아","KOSDAQ","인터넷","9590","-30","-0.31","129807209560"
"078890","가온미디어","KOSDAQ","통신장비","5800","-20","-0.34","94387900800"
"399720","가온칩스","KOSDAQ","반도체","20850","200","0.97","239531472000"
"036620","감성코퍼레이션","KOSDAQ","유통","1670","0","0.00","149621273590"
"217730","강스템바이오텍","KOSDAQ","제약","2600","-45","-1.70","98638605000"
"114190","강원에너지","KOSDAQ","금속","6680","190","2.93","174501893840"
"094480","갤럭시아머니트리","KOSDAQ","소프트웨어","4690","70","1.52","183987940220"
"039240","경남스틸","KOSDAQ","금속","3030","-60","-1.94","81748200120"
"053950","경남제약","KOSDAQ","제약","1860","-35","-1.85","57380190900"
"011040","경동제약","KOSDAQ","제약","7020","-20","-0.28","215996737320"
"024910","경창산업","KOSDAQ","운송장비·부품","2000","25","1.27","71638010000"
"198440","고려시멘트","KOSDAQ","비금속","2540","0","0.00","81229098400"
"049720","고려신용정보","KOSDAQ","기타서비스","12500","-1150","-8.42","178750000000"
"014570","고려제약","KOSDAQ","제약","7200","-40","-0.55","79200000000"
"348150","고바이오랩","KOSDAQ","기타서비스","10400","50","0.48","177117709600"
"098460","고영","KOSDAQ","기계·장비","14050","500","3.69","964599307750"
"035290","골드앤에스","KOSDAQ","출판·매체복제","3800","-470","-11.01","137650858000"
"038530","골드퍼시픽","KOSDAQ","유통","460","-6","-1.29","42327558260"
"900280","골든센츄리","KOSDAQ","금융","399","0","0.00","81956310912"
"215000","골프존","KOSDAQ","소프트웨어","107800","900","0.84","676489737000"
"121440","골프존뉴딘홀딩스","KOSDAQ","유통","5350","-40","-0.74","229176976300"
"366030","공구우먼","KOSDAQ","유통","7240","-30","-0.41","159516024000"
"014200","광림","KOSDAQ","운송장비·부품","1270","0","0.00","115197503920"
"029480","광무","KOSDAQ","통신장비","3595","-5","-0.14","118085928460"
"026910","광진실업","KOSDAQ","금속","4870","-50","-1.02","31194322350"
"355150","교보10호스팩","KOSDAQ","금융","2400","0","0.00","12768000000"
"397880","교보11호스팩","KOSDAQ","금융","2110","-15","-0.71","9368400000"
"421800","교보12호스팩","KOSDAQ","금융","2085","-5","-0.24","12468300000"
"331520","교보9호스팩","KOSDAQ","금융","1835","-130","-6.62","7119800000"
"053270","구영테크","KOSDAQ","운송장비·부품","2385","-20","-0.83","62950104990"
"066620","국보디자인","KOSDAQ","건설","15650","-50","-0.32","117375000000"
"043650","국순당","KOSDAQ","음식료·담배","6870","-110","-1.58","122686548480"
"006050","국영지앤엠","KOSDAQ","비금속","1200","-15","-1.23","41874291600"
"060480","국일신동","KOSDAQ","금속","2725","-35","-1.27","30220250000"
"078130","국일제지","KOSDAQ","종이·목재","2015","0","0.00","257149208095"
"307750","국전약품","KOSDAQ","제약","7230","-250","-3.34","354770814870"
"035080","그래디언트","KOSDAQ","유통","13850","-100","-0.72","215057038400"
"204020","그리티","KOSDAQ","섬유·의류","2870","20","0.70","57823124100"
"186230","그린플러스","KOSDAQ","금속","11600","-100","-0.85","125514180800"
"900070","글로벌에스엠","KOSDAQ","금융","934","215","29.90","50196866112"
"204620","글로벌텍스프리","KOSDAQ","금융","2415","-30","-1.23","124902935430"
"019660","글로본","KOSDAQ","유통","2675","-200","-6.96","91815830625"
"053260","금강철강","KOSDAQ","금속","7300","80","1.11","136656000000"
"036190","금화피에스시","KOSDAQ","건설","27700","-300","-1.07","166200000000"
"049080","기가레인","KOSDAQ","반도체","1230","-25","-1.99","97469185200"
"035460","기산텔레콤","KOSDAQ","통신장비","2460","-50","-1.99","35860256400"
"308100","까스텔바작","KOSDAQ","유통","6470","-50","-0.77","42862022510"
"187790","나노","KOSDAQ","화학","1005","-15","-1.47","27555664860"
"286750","나노브릭","KOSDAQ","화학","1485","110","8.00","30389855265"
"121600","나노신소재","KOSDAQ","화학","84700","2400","2.92","918853805100"
"247660","나노씨엠에스","KOSDAQ","일반전기전자","19850","-1800","-8.31","86226812000"
"039860","나노엔텍","KOSDAQ","의료·정밀기기","4890","75","1.56","131089296030"
"091970","나노캠텍","KOSDAQ","화학","1610","0","0.00","45209484250"
"051490","나라엠앤디","KOSDAQ","기계·장비","6400","100","1.59","90880000000"
"137080","나래나노텍","KOSDAQ","기계·장비","6900","80","1.17","76310011800"
"190510","나무가","KOSDAQ","IT부품","11550","250","2.21","175517738550"
"242040","나무기술","KOSDAQ","출판·매체복제","1640","20","1.23","56156388000"
"089600","나스미디어","KOSDAQ","기타서비스","29400","2250","8.29","309874882800"
"293580","나우IB","KOSDAQ","금융","6980","90","1.31","66847460000"
"138610","나이벡","KOSDAQ","제약","20000","3050","17.99","199149580000"
"130580","나이스디앤비","KOSDAQ","기타서비스","7430","-210","-2.75","114422000000"
"036800","나이스정보통신","KOSDAQ","통신서비스","26300","-150","-0.57","263000000000"
"267320","나인테크","KOSDAQ","IT부품","3100","5","0.16","122129317400"
"111710","남화산업","KOSDAQ","오락·문화","6810","-100","-1.45","140204280000"
"091590","남화토건","KOSDAQ","건설","5920","-80","-1.33","69500800000"
"168330","내츄럴엔도텍","KOSDAQ","기타서비스","3120","-15","-0.48","99075288000"
"094860","네오리진","KOSDAQ","소프트웨어","568","0","0.00","59333152200"
"253590","네오셈","KOSDAQ","반도체","3250","-125","-3.70","124977534500"
