종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"003460","유화증권","KOSPI","증권","2305","10","0.44","130699066575"
"003465","유화증권우","KOSPI","증권","2500","-10","-0.40","43691062500"
"008730","율촌화학","KOSPI","화학","28850","100","0.35","715480000000"
"008250","이건산업","KOSPI","종이목재","7100","30","0.42","77763708500"
"025820","이구산업","KOSPI","철강금속","2590","-25","-0.96","86614780000"
"214320","이노션","KOSPI","서비스업","40700","-900","-2.16","814000000000"
"088260","이리츠코크렙","KOSPI","서비스업","5130","-40","-0.77","324942356700"
"139480","이마트","KOSPI","유통업","87200","3700","4.43","2430771416800"
"007660","이수페타시스","KOSPI","전기전자","5200","190","3.79","328881378800"
"005950","이수화학","KOSPI","화학","22800","700","3.17","637477603200"
"015020","이스타코","KOSPI","서비스업","871","-28","-3.11","37323743600"
"093230","이아이디","KOSPI","유통업","1030","-25","-2.37","104919950900"
"074610","이엔플러스","KOSPI","기계","3935","150","3.96","227210716950"
"102460","이연제약","KOSPI","의약품","18100","100","0.56","325774243700"
"084680","이월드","KOSPI","기타제조업","1500","0","0.00","212709289500"
"350520","이지스레지던스리츠","KOSPI","서비스업","4075","-25","-0.61","115561364275"
"334890","이지스밸류리츠","KOSPI","서비스업","4160","-45","-1.07","152860593600"
"000760","이화산업","KOSPI","유통업","15400","150","0.98","43120000000"
"014990","인디에프","KOSPI","섬유의복","545","-6","-1.09","38538582275"
"101140","인바이오젠","KOSPI","유통업","778","-107","-12.09","41542725960"
"006490","인스코비","KOSPI","통신업","1510","-40","-2.58","165932898870"
"023800","인지컨트롤스","KOSPI","운수장비","9270","20","0.22","142138884510"
"034590","인천도시가스","KOSPI","전기가스업","26150","-1050","-3.86","114399817100"
"129260","인터지스","KOSPI","운수창고업","2570","-25","-0.96","76452036180"
"023810","인팩","KOSPI","운수장비","6260","-110","-1.73","62600000000"
"249420","일동제약","KOSPI","의약품","28550","-600","-2.06","765233786750"
"000230","일동홀딩스","KOSPI","의약품","25400","-600","-2.31","293126160000"
"013360","일성건설","KOSPI","건설업","2215","-5","-0.23","119665109200"
"003120","일성신약","KOSPI","의약품","101000","0","0.00","268660000000"
"003200","일신방직","KOSPI","섬유의복","98700","700","0.71","236880000000"
"007110","일신석재","KOSPI","유통업","1130","-10","-0.88","87525969300"
"007570","일양약품","KOSPI","의약품","16900","100","0.60","322547721600"
"007575","일양약품우","KOSPI","의약품","19700","-250","-1.25","8768076000"
"008500","일정실업","KOSPI","섬유의복","21900","-100","-0.45","26280000000"
"081000","일진다이아","KOSPI","화학","15200","-200","-1.30","215885220000"
"020760","일진디스플","KOSPI","전기전자","1210","10","0.83","62331626610"
"020150","일진머티리얼즈","KOSPI","전기전자","54500","-2300","-4.05","2513040507500"
"103590","일진전기","KOSPI","전기전자","4320","-80","-1.82","160187284800"
"271940","일진하이솔루스","KOSPI","운수장비","29400","250","0.86","1067607786000"
"015860","일진홀딩스","KOSPI","기타금융","4050","-205","-4.82","199857306150"
"226320","잇츠한불","KOSPI","화학","14950","-200","-1.32","327843259250"
"317400","자이에스앤디","KOSPI","서비스업","6100","100","1.67","236573372000"
"033240","자화전자","KOSPI","전기전자","20250","-600","-2.88","406204733250"
"000950","전방","KOSPI","섬유의복","70000","2800","4.17","117600000000"
"348950","제이알글로벌리츠","KOSPI","서비스업","4340","-30","-0.69","856611840000"
"194370","제이에스코퍼레이션","KOSPI","기타제조업","14550","200","1.39","194032994550"
"025620","제이준코스메틱","KOSPI","화학","404","-2","-0.49","31101040696"
"030000","제일기획","KOSPI","서비스업","22850","0","0.00","2628691991250"
